,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Álex Abrines,Oct 26 '16 OKC @ PHI,23,1,68,1055,134,341,94,247,44,49,18,86,40,37,8,33,114,406,.393,.381,.898,15.5,6.0,1.3,0.6,0.5,0.1,abrinal01
2,Ron Baker,Oct 25 '16 NYK @ CLE,23,1,52,857,82,217,23,86,28,43,12,98,107,34,8,56,74,215,.378,.267,.651,16.5,4.1,1.9,2.1,0.7,0.2,bakerro01
3,Wade Baldwin,Oct 26 '16 MEM vs. MIN,20,1,33,405,36,115,3,22,31,37,11,46,61,18,7,39,40,106,.313,.136,.838,12.3,3.2,1.4,1.8,0.5,0.2,baldwwa01
4,Malik Beasley,Nov 5 '16 DEN @ DET,20,1,22,165,33,73,9,28,8,10,5,17,11,7,0,8,10,83,.452,.321,.800,7.5,3.8,0.8,0.5,0.3,0.0,beaslma01
5,DeAndre' Bembry,Oct 27 '16 ATL vs. WAS,22,1,38,371,47,98,1,18,6,16,14,59,28,8,5,16,21,101,.480,.056,.375,9.8,2.7,1.6,0.7,0.2,0.1,bembrde01
6,Dragan Bender,Oct 26 '16 PHO vs. SAC,19,1,43,574,57,161,28,101,4,11,23,103,23,10,22,32,74,146,.354,.277,.364,13.3,3.4,2.4,0.5,0.2,0.5,bendedr01
7,Ben Bentil,Mar 1 '17 DAL @ ATL,21,1,3,10,0,3,0,1,0,0,0,2,0,0,0,1,1,0,.000,.000,,3.3,0.0,0.7,0.0,0.0,0.0,bentibe01
8,Dāvis Bertāns,Oct 25 '16 SAS @ GSW,24,1,67,808,103,234,69,173,28,34,22,98,46,20,28,32,75,303,.440,.399,.824,12.1,4.5,1.5,0.7,0.3,0.4,bertada01
9,Joel Bolomboy,Oct 30 '16 UTA @ LAC,23,1,12,53,9,16,1,4,3,6,4,17,2,1,2,2,1,22,.563,.250,.500,4.4,1.8,1.4,0.2,0.1,0.2,bolomjo01
10,Malcolm Brogdon,Oct 26 '16 MIL vs. CHO,24,1,75,1982,290,635,78,193,109,126,47,213,317,84,12,113,140,767,.457,.404,.865,26.4,10.2,2.8,4.2,1.1,0.2,brogdma01
11,Jaylen Brown,Oct 26 '16 BOS vs. BRK,20,1,78,1341,192,423,46,135,85,124,45,220,64,35,18,68,142,515,.454,.341,.685,17.2,6.6,2.8,0.8,0.4,0.2,brownja02
12,Nicolás Brussino,Oct 26 '16 DAL @ IND,23,1,54,521,52,141,29,95,17,22,26,95,47,17,8,26,43,150,.369,.305,.773,9.6,2.8,1.8,0.9,0.3,0.1,brussni01
13,Marquese Chriss,Oct 26 '16 PHO vs. SAC,19,1,82,1743,284,632,72,224,113,181,96,348,60,67,70,108,263,753,.449,.321,.624,21.3,9.2,4.2,0.7,0.8,0.9,chrisma01
14,Semaj Christon,Oct 26 '16 OKC @ PHI,24,1,64,973,77,223,12,63,17,31,19,87,130,28,7,43,79,183,.345,.190,.548,15.2,2.9,1.4,2.0,0.4,0.1,chrisse01
15,Quinn Cook,Feb 27 '17 DAL vs. MIA,23,1,14,188,33,66,11,26,2,5,1,7,26,4,0,13,13,79,.500,.423,.400,13.4,5.6,0.5,1.9,0.3,0.0,cookqu01
16,Deyonta Davis,Oct 26 '16 MEM vs. MIN,20,1,36,238,24,47,0,0,10,18,20,60,2,3,17,8,40,58,.511,,.556,6.6,1.6,1.7,0.1,0.1,0.5,davisde01
17,Malcolm Delaney,Oct 27 '16 ATL vs. WAS,27,1,73,1248,145,388,26,110,75,93,10,123,193,39,1,95,112,391,.374,.236,.806,17.1,5.4,1.7,2.6,0.5,0.0,delanma01
18,Cheick Diallo,Oct 29 '16 NOP @ SAS,20,1,17,199,36,76,0,0,15,21,23,73,4,4,7,7,17,87,.474,,.714,11.7,5.1,4.3,0.2,0.2,0.4,diallch01
19,Kris Dunn,Oct 26 '16 MIN @ MEM,22,1,78,1333,118,313,21,73,36,59,24,166,188,78,36,89,178,293,.377,.288,.610,17.1,3.8,2.1,2.4,1.0,0.5,dunnkr01
20,Henry Ellenson,Oct 26 '16 DET @ TOR,20,1,19,146,23,64,10,35,4,8,8,41,7,1,1,14,6,60,.359,.286,.500,7.7,3.2,2.2,0.4,0.1,0.1,ellenhe01
