,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
21,Joel Embiid,Oct 26 '16 PHI vs. OKC,22,1,31,786,200,429,36,98,191,244,61,243,66,27,76,117,112,627,.466,.367,.783,25.4,20.2,7.8,2.1,0.9,2.5,embiijo01
22,Kay Felder,Oct 29 '16 CLE vs. ORL,21,1,42,386,62,158,7,22,35,49,3,41,58,18,7,30,38,166,.392,.318,.714,9.2,4.0,1.0,1.4,0.4,0.2,feldeka01
23,Yogi Ferrell,Nov 9 '16 BRK @ NYK,23,1,46,1197,160,394,68,176,74,89,20,111,172,42,9,70,90,462,.406,.386,.831,26.0,10.0,2.4,3.7,0.9,0.2,ferreyo01
24,Dorian Finney-Smith,Oct 26 '16 DAL @ IND,23,1,81,1642,124,333,56,191,46,61,55,222,67,52,25,45,125,350,.372,.293,.754,20.3,4.3,2.7,0.8,0.6,0.3,finnedo01
25,Bryn Forbes,Oct 25 '16 SAS @ GSW,23,1,36,285,36,99,17,53,5,6,2,23,23,1,0,11,20,94,.364,.321,.833,7.9,2.6,0.6,0.6,0.0,0.0,forbebr01
26,Patricio Garino,Apr 4 '17 ORL @ CLE,23,1,5,43,0,7,0,5,0,0,1,7,0,0,0,3,4,0,.000,.000,,8.6,0.0,1.4,0.0,0.0,0.0,garinpa01
27,Michael Gbinije,Oct 26 '16 DET @ TOR,24,1,9,32,1,10,0,4,2,2,2,3,2,0,0,0,2,4,.100,.000,1.000,3.6,0.4,0.3,0.2,0.0,0.0,gbinimi01
28,Marcus Georges-Hunt,Apr 4 '17 ORL @ CLE,22,1,5,48,2,7,1,2,9,10,1,9,3,1,0,2,5,14,.286,.500,.900,9.6,2.8,1.8,0.6,0.2,0.0,georgma01
29,Jonathan Gibson,Nov 18 '16 DAL vs. MEM,29,1,17,231,35,95,15,45,21,29,1,22,26,8,0,21,21,106,.368,.333,.724,13.6,6.2,1.3,1.5,0.5,0.0,gibsojo01
30,Treveon Graham,Nov 2 '16 CHO vs. PHI,23,1,27,189,19,40,9,15,10,15,5,22,6,6,1,3,18,57,.475,.600,.667,7.0,2.1,0.8,0.2,0.2,0.0,grahatr01
31,A.J. Hammons,Oct 28 '16 DAL vs. HOU,24,1,22,163,17,42,5,10,9,20,8,36,4,1,13,10,21,48,.405,.500,.450,7.4,2.2,1.6,0.2,0.0,0.6,hammoaj01
32,Andrew Harrison,Oct 26 '16 MEM vs. MIN,22,1,72,1474,117,360,43,156,148,194,23,136,198,53,21,85,194,425,.325,.276,.763,20.5,5.9,1.9,2.8,0.7,0.3,harrian01
33,Juancho Hernangómez,Oct 26 '16 DEN @ NOP,21,1,62,842,101,224,46,113,57,76,43,187,29,30,12,31,62,305,.451,.407,.750,13.6,4.9,3.0,0.5,0.5,0.2,hernaju01
34,Willy Hernangómez,Oct 25 '16 NYK @ CLE,22,1,72,1324,246,465,4,15,91,125,170,502,96,41,36,100,150,587,.529,.267,.728,18.4,8.2,7.0,1.3,0.6,0.5,hernawi01
35,Buddy Hield,Oct 26 '16 NOP vs. DEN,24,1,82,1888,327,767,148,379,64,76,35,269,121,38,9,101,115,866,.426,.391,.842,23.0,10.6,3.3,1.5,0.5,0.1,hieldbu01
36,Danuel House Jr.,Nov 11 '16 WAS vs. CLE,23,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,1.0,0.0,1.0,0.0,0.0,0.0,houseda01
37,Brandon Ingram,Oct 26 '16 LAL vs. HOU,19,1,79,2279,276,686,55,187,133,214,60,316,166,50,36,116,158,740,.402,.294,.621,28.8,9.4,4.0,2.1,0.6,0.5,ingrabr01
38,Demetrius Jackson,Nov 6 '16 BOS vs. DEN,22,1,5,17,3,4,1,1,3,6,2,4,3,0,0,0,0,10,.750,1.000,.500,3.4,2.0,0.8,0.6,0.0,0.0,jacksde01
39,Pierre Jackson,Dec 27 '16 DAL vs. HOU,25,1,8,84,13,39,3,11,6,7,1,9,19,2,0,3,5,35,.333,.273,.857,10.5,4.4,1.1,2.4,0.3,0.0,jackspi01
40,Brice Johnson,Feb 23 '17 LAC @ GSW,22,1,3,9,2,7,0,0,0,0,1,3,1,2,1,1,0,4,.286,,,3.0,1.3,1.0,0.3,0.7,0.3,johnsbr02
41,Damian Jones,Dec 10 '16 GSW @ MEM,21,1,10,85,8,16,0,0,3,10,9,23,0,1,4,6,15,19,.500,,.300,8.5,1.9,2.3,0.0,0.1,0.4,jonesda03
42,Derrick Jones Jr.,Nov 19 '16 PHO @ PHI,19,1,32,545,68,121,3,11,29,41,39,79,12,14,13,13,63,168,.562,.273,.707,17.0,5.3,2.5,0.4,0.4,0.4,jonesde02
43,Mindaugas Kuzminskas,Oct 25 '16 NYK @ CLE,27,1,68,1016,158,369,54,168,55,68,47,126,69,29,11,51,79,425,.428,.321,.809,14.9,6.3,1.9,1.0,0.4,0.2,kuzmimi01
44,Skal Labissière,Nov 5 '16 SAC @ MIL,20,1,33,612,117,218,3,8,52,74,51,162,27,16,13,37,64,289,.537,.375,.703,18.5,8.8,4.9,0.8,0.5,0.4,labissk01
45,Nicolás Laprovíttola,Oct 25 '16 SAS @ GSW,27,1,18,174,20,47,10,27,9,9,1,10,28,4,1,19,19,59,.426,.370,1.000,9.7,3.3,0.6,1.6,0.2,0.1,laproni01
46,Jake Layman,Nov 1 '16 POR vs. GSW,22,1,35,249,26,89,13,51,13,17,6,24,11,9,3,11,22,78,.292,.255,.765,7.1,2.2,0.7,0.3,0.3,0.1,laymaja01
47,Caris LeVert,Dec 7 '16 BRK vs. DEN,22,1,57,1237,171,380,59,184,67,93,23,188,110,49,8,59,91,468,.450,.321,.720,21.7,8.2,3.3,1.9,0.9,0.1,leverca01
48,Shawn Long,Mar 6 '17 PHI vs. MIL,24,1,18,234,61,109,7,19,19,35,41,85,13,9,9,13,49,148,.560,.368,.543,13.0,8.2,4.7,0.7,0.5,0.5,longsh01
49,Timothé Luwawu-Cabarrot,Oct 29 '16 PHI vs. ATL,21,1,69,1190,145,361,50,161,105,123,25,149,75,32,10,73,154,445,.402,.311,.854,17.2,6.4,2.2,1.1,0.5,0.1,luwawti01
50,Sheldon Mac,Oct 27 '16 WAS @ ATL,24,1,30,287,30,75,7,30,23,27,4,34,15,8,2,5,17,90,.400,.233,.852,9.6,3.0,1.1,0.5,0.3,0.1,mcclesh01
51,Thon Maker,Oct 30 '16 MIL @ DET,19,1,57,562,83,181,28,74,32,49,40,114,23,10,26,17,84,226,.459,.378,.653,9.9,4.0,2.0,0.4,0.2,0.5,makerth01
52,Patrick McCaw,Oct 25 '16 GSW vs. SAS,21,1,71,1074,106,245,41,123,29,37,21,100,77,32,15,36,62,282,.433,.333,.784,15.1,4.0,1.4,1.1,0.5,0.2,mccawpa01
53,Rodney McGruder,Oct 26 '16 MIA @ ORL,25,1,78,1966,190,460,73,220,44,71,94,256,124,46,18,56,140,497,.413,.332,.620,25.2,6.4,3.3,1.6,0.6,0.2,mcgruro01
54,Dejounte Murray,Oct 29 '16 SAS vs. NOP,20,1,38,322,50,116,9,23,21,30,6,42,48,8,6,38,29,130,.431,.391,.700,8.5,3.4,1.1,1.3,0.2,0.2,murrade01
55,Jamal Murray,Oct 26 '16 DEN @ NOP,19,1,82,1764,295,730,115,344,106,120,41,214,170,51,24,113,124,811,.404,.334,.883,21.5,9.9,2.6,2.1,0.6,0.3,murraja01
56,Maurice Ndour,Nov 1 '16 NYK @ DET,24,1,32,331,39,86,1,7,19,26,22,64,8,15,8,12,30,98,.453,.143,.731,10.3,3.1,2.0,0.3,0.5,0.3,ndourma01
57,Georges Niang,Oct 28 '16 IND @ BRK,23,1,23,93,9,36,1,12,2,2,2,17,5,3,0,5,6,21,.250,.083,1.000,4.0,0.9,0.7,0.2,0.1,0.0,niangge01
58,David Nwaba,Feb 28 '17 LAL vs. CHO,24,1,20,397,47,81,1,5,25,39,17,63,14,13,7,11,36,120,.580,.200,.641,19.9,6.0,3.2,0.7,0.7,0.4,nwabada01
59,Daniel Ochefu,Oct 27 '16 WAS @ ATL,23,1,19,75,12,27,0,0,0,2,5,22,3,2,0,3,17,24,.444,,.000,3.9,1.3,1.2,0.2,0.1,0.0,ochefda01
60,Chinanu Onuaku,Dec 26 '16 HOU vs. PHO,20,1,5,52,5,7,0,0,4,4,2,10,3,3,1,4,6,14,.714,,1.000,10.4,2.8,2.0,0.6,0.6,0.2,onuakch01
61,Georgios Papagiannis,Nov 5 '16 SAC @ MIL,19,1,22,355,56,102,0,2,12,14,24,86,20,3,17,24,44,124,.549,.000,.857,16.1,5.6,3.9,0.9,0.1,0.8,papagge01
62,Gary Payton II,Apr 2 '17 MIL vs. DAL,24,1,6,99,8,22,1,9,3,5,0,12,13,3,4,10,9,20,.364,.111,.600,16.5,3.3,2.0,2.2,0.5,0.7,paytoga02
63,Marshall Plumlee,Nov 20 '16 NYK vs. ATL,24,1,21,170,16,30,0,0,8,19,23,51,10,4,4,12,23,40,.533,,.421,8.1,1.9,2.4,0.5,0.2,0.2,plumlma02
64,Jakob Poeltl,Oct 26 '16 TOR vs. DET,21,1,54,626,67,115,0,0,31,57,78,165,12,17,20,29,113,165,.583,,.544,11.6,3.1,3.1,0.2,0.3,0.4,poeltja01
65,Alex Poythress,Apr 2 '17 PHI @ TOR,23,1,6,157,25,54,6,19,8,10,11,29,5,3,2,3,14,64,.463,.316,.800,26.2,10.7,4.8,0.8,0.5,0.3,poythal01
66,Taurean Prince,Oct 27 '16 ATL vs. WAS,22,1,59,981,114,285,33,102,74,94,25,157,55,43,27,61,96,335,.400,.324,.787,16.6,5.7,2.7,0.9,0.7,0.5,princta02
67,Tim Quarterman,Nov 9 '16 POR @ LAC,22,1,16,80,13,29,5,13,0,3,4,14,11,2,3,11,6,31,.448,.385,.000,5.0,1.9,0.9,0.7,0.1,0.2,quartti01
68,Chasson Randle,Jan 14 '17 PHI @ WAS,23,1,26,299,40,98,16,47,41,43,6,32,34,9,2,19,39,137,.408,.340,.953,11.5,5.3,1.2,1.3,0.3,0.1,randlch01
69,Malachi Richardson,Oct 26 '16 SAC @ PHO,21,1,22,198,28,68,8,28,15,19,3,23,11,5,1,8,23,79,.412,.286,.789,9.0,3.6,1.0,0.5,0.2,0.0,richama01
70,Domantas Sabonis,Oct 26 '16 OKC @ PHI,20,1,81,1632,192,481,51,159,44,67,46,288,82,39,32,83,200,479,.399,.321,.657,20.1,5.9,3.6,1.0,0.5,0.4,sabondo01
71,Dario Šarić,Oct 26 '16 PHI vs. OKC,22,1,81,2129,381,927,106,341,172,220,112,513,182,57,30,183,162,1040,.411,.311,.782,26.3,12.8,6.3,2.2,0.7,0.4,saricda01
72,Tomáš Satoranský,Oct 27 '16 WAS @ ATL,25,1,57,719,61,147,9,37,23,33,25,83,92,26,6,38,60,154,.415,.243,.697,12.6,2.7,1.5,1.6,0.5,0.1,satorto01
73,Wayne Selden,Mar 14 '17 NOP vs. POR,22,1,14,236,25,58,7,28,14,22,1,16,13,6,1,12,18,71,.431,.250,.636,16.9,5.1,1.1,0.9,0.4,0.1,seldewa01
74,Pascal Siakam,Oct 26 '16 TOR vs. DET,22,1,55,859,103,205,1,7,22,32,64,185,17,26,45,33,109,229,.502,.143,.688,15.6,4.2,3.4,0.3,0.5,0.8,siakapa01
75,Diamond Stone,Oct 30 '16 LAC vs. UTA,19,1,7,24,3,13,0,0,4,4,1,6,0,0,1,2,5,10,.231,,1.000,3.4,1.4,0.9,0.0,0.0,0.1,stonedi01
76,Isaiah Taylor,Apr 2 '17 HOU @ PHO,22,1,4,52,1,7,0,2,1,2,1,3,3,1,1,0,6,3,.143,.000,.500,13.0,0.8,0.8,0.8,0.3,0.3,taylois01
77,Mike Tobey,Feb 15 '17 CHO @ TOR,22,1,2,25,1,4,0,0,0,0,2,3,1,0,0,1,2,2,.250,,,12.5,1.0,1.5,0.5,0.0,0.0,tobeymi01
78,Tyler Ulis,Oct 26 '16 PHO vs. SAC,21,1,61,1123,184,437,21,79,55,71,20,95,226,48,5,77,73,444,.421,.266,.775,18.4,7.3,1.6,3.7,0.8,0.1,ulisty01
79,Jarrod Uthoff,Mar 10 '17 DAL vs. BRK,23,1,9,115,16,38,3,9,5,7,8,22,9,2,4,3,8,40,.421,.333,.714,12.8,4.4,2.4,1.0,0.2,0.4,uthofja01
80,Denzel Valentine,Oct 29 '16 CHI vs. IND,23,1,57,976,102,288,73,208,14,18,11,151,63,30,7,49,86,291,.354,.351,.778,17.1,5.1,2.6,1.1,0.5,0.1,valende01
81,Fred VanVleet,Nov 9 '16 TOR @ OKC,22,1,37,294,39,111,11,29,18,22,4,42,35,16,3,15,36,107,.351,.379,.818,7.9,2.9,1.1,0.9,0.4,0.1,vanvlfr01
82,Okaro White,Jan 19 '17 MIA vs. DAL,24,1,35,471,33,87,12,34,20,22,25,82,21,10,10,18,52,98,.379,.353,.909,13.5,2.8,2.3,0.6,0.3,0.3,whiteok01
83,Isaiah Whitehead,Oct 26 '16 BRK @ BOS,21,1,73,1643,204,508,44,149,91,113,32,184,192,42,36,142,175,543,.402,.295,.805,22.5,7.4,2.5,2.6,0.6,0.5,whiteis01
84,Troy Williams,Oct 29 '16 MEM @ NYK,22,1,30,557,73,167,18,62,21,32,15,69,25,27,10,32,60,185,.437,.290,.656,18.6,6.2,2.3,0.8,0.9,0.3,willitr02
85,Kyle Wiltjer,Oct 28 '16 HOU @ DAL,24,1,14,44,4,14,4,13,1,2,4,10,2,3,1,5,4,13,.286,.308,.500,3.1,0.9,0.7,0.1,0.2,0.1,wiltjky01
86,Stephen Zimmerman,Oct 28 '16 ORL @ DET,20,1,19,108,10,31,0,0,3,5,11,35,4,2,5,3,17,23,.323,,.600,5.7,1.2,1.8,0.2,0.1,0.3,zimmest01
87,Paul Zipser,Oct 29 '16 CHI vs. IND,22,1,44,843,88,221,33,99,31,40,15,125,36,15,16,40,78,240,.398,.333,.775,19.2,5.5,2.8,0.8,0.3,0.4,zipsepa01
88,Ivica Zubac,Nov 2 '16 LAL @ ATL,19,1,38,609,126,238,0,3,32,49,41,159,30,14,33,30,66,284,.529,.000,.653,16.0,7.5,4.2,0.8,0.4,0.9,zubaciv01
